company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,no of investor,investor1,investor2,investor3,investor4
CaRPM,Apps,Car Sharing,Gurgaon,Haryana,CaRPM is a car solution platform.,—,—,"Sep 1, 2015",www.carpm.in,2,Abhishek Maitreyi,Lovish Choudhary,01-Oct,1,Seed,"Dec 17, 2015","$ 1,00,000.00",Seed,"$ 1,00,000.00",1,,,,
Digichorus,Agriculture,AgTech,Pune,Maharashtra,Digichorus provides a farm produce search platform.,411037,—,"Nov 27, 2015",www.digichorus.com/,1,Santosh Kumar,,51-100,1,Seed,"Apr 25, 2016","$ 50,000.00",Seed,"$ 50,000.00",1,,,,
m-Ujala Solartech Private Limited,Energy,Mobile,Mumbai,Maharashtra,Delivering Solar Home Solutions on a Mobile Telephony based Micro Utility Platform in India underpinned with innovative financing models.,—,—,"Sep 12, 2015",www.m-ujala.com,3,Chirjyot Kohli,Gaurav Naik,01-Oct,1,Seed,"Jan 1, 2016","$ 10,00,000.00",Angel,"$ 10,00,000.00",—,,,,
HealthQik,Health Care,Mobile Apps,Bhopal,Madhya Pradesh,Empowering providers to transform healthcare,462011,Less than $1M,"Feb 1, 2016",healthqik.com,4,Abhinav Sehgal,Ishita Rastogi,Nov-50,1,Seed,"Jul 15, 2019","$ 2,50,000.00",Seed,"$ 2,50,000.00",2,Gagan Lamba,,,
TrackTech,Automotive,Electronics,Bhubaneswar,Orissa,TrackTech is an innovative technological company aiming to integrate RFID technology on production lines in factories.,751010,—,2016,www.tracktech.co.in/,1,Subhasish Sahoo,,01-Oct,1,Seed,"Dec 13, 2017","EGP 1,50,000.00",Pre-Seed,"EGP 1,50,000.00",1,,,,
Anything Delivered - AD Loggs,E-Commerce,Internet of Things,Coimbatore,Tamil Nadu,Anything Delivered - AD Loggs is a delivery services marketplace .,641002,—,2016,adloggs.com,1,Darshan Krishnasamy,,251-500,1,Seed,"Jan 18, 2016","$ 1,00,000.00",Seed,"$ 1,00,000.00",—,,,,
VALUESHIPR (M/s. DECKER LOGISTICS PVT LTD),Freight Service,Logistics,Mumbai,Maharashtra,"A multimodal Logistics platform, facilitates spot and bid Freight price buying and transaction execution seamlessly, using technology",—,—,"Apr 14, 2016",www.valueshipr.com,2,Jyotheesh Kumar,Prashant Halari,Nov-50,1,Seed,"Apr 26, 2016","$ 6,55,000.00",Seed,"$ 6,55,000.00",—,,,,
Tvasta,3D Printing,Industrial Engineering,Bangalore,Karnataka,Working towards automating and digitizing the construction industry with our proprietary Concrete 3D Printing System,560010,—,2016,www.tvasta.construction/,4,Adithya VS,Parivarthan Reddy,Nov-50,2,Seed,"Oct 21, 2021",—,Seed,—,4,ShelterTech,Hestia Investments,Capnetic Investments,
UrbanKare,Information Services,Information Technology,Patna City,Bihar,"Online One Stop Solution for Interior , Renovation and Painting",800013,—,"Sep 9, 2015",www.urbankare.com,2,Balkishan Kumar,SWATI ANAND,51-100,1,Seed,"May 4, 2017","₹ 10,00,000.00",Pre-Seed,"₹ 10,00,000.00",—,,,,
Zoop.one,Identity Management,Information Technology,Pune,Maharashtra,Zoop.one is an information technology company that specializes in the fields of identity management and security.,—,—,2016,Zoop.one/,2,Ritesh Kothari,Vijay Chhuttani,Nov-50,1,Seed,"Nov 2, 2017",—,Angel,—,3,Anoop Mathur,Kalpana Maniar,,
OhLook,E-Commerce,Fashion,Hyderabad,Andhra Pradesh,A service that lets users outsource everyday fashion. For $15/month users get a different shirt/tee every single day.,—,$1M to $10M,Jul-16,www.ohlook.in,2,Armaan Azaad,Arshad Azad,Nov-50,2,Seed,"Oct 5, 2017","$ 30,000.00",Seed,"$ 59,900.00",1,,,,
WIISE Learning Network,E-Learning,Education,Hyderabad,Andhra Pradesh,"WIISE in first of its kind, Professional Learning Network, geared to create habit of Continuous Learning amongst individuals.",—,—,"Jun 1, 2016",www.wiise.co/,2,Vivek Reddy,XX Quinn,Nov-50,1,Seed,"Mar 10, 2017","$ 15,00,000.00",Seed,"$ 15,00,000.00",—,,,,
Babygogo,Children,Health Care,New Delhi,Delhi,Babygogo is a healthcare startup that offers a parenting platform helping new moms keep their children healthy.,—,Less than $1M,2016,www.babygogo.in,3,Satyadeep Karnati,Siddhartha Ahluwalia,Nov-50,1,M&A,"Mar 29, 2016","$ 3,00,000.00",Seed,"$ 3,00,000.00",1,,,,
BuildTraders,Building Material,Construction,Bangalore,Karnataka,BuildTraders provides selected building materials to builders and builder-owners.,—,—,Apr-16,www.buildtraders.com,1,Ranjeet Gakhare,,01-Oct,1,Seed,"Sep 8, 2016","$ 2,00,000.00",Seed,"$ 2,00,000.00",1,,,,
Hyperpure,E-Commerce,Food and Beverage,Bangalore,Karnataka,Hyperpure is a B2B marketplace for trading commodities in the Food & Beverage industry.,560034,$1M to $10M,2016,wotu.in,1,Dhruv Sawhney,,Nov-50,2,Seed,"Jan 5, 2018",—,Seed,—,3,Kae Capital,Claris Capital Limited,,
SKIoT Technologies,Internet of Things,Market Research,Hyderabad,Andhra Pradesh,SKIoT Technologies is an innovative R&D Labs for IoT technologies in the global market.,502285,—,2016,www.skiot.co.in/,2,Malyala Sai Kiran,R Bharath,—,2,Seed,"Jan 28, 2021","₹ 25,00,000.00",Pre-Seed,"₹ 35,63,000.00",1,,,,
Room Soom Technologies,Information Technology,Internet,Noida,Uttar Pradesh,"RoomSoom is the house hunting, tech enabled platform, where we push you to accomodate in your most loved zones.",201301,—,"Aug 1, 2016",www.roomsoom.com/,2,Garima Agrawal,Nitin Agrawal,101-250,2,Private Equity,"Jul 13, 2020","$ 2,50,000.00",Private Equity,"$ 2,50,000.00",1,,,,
Redheal Care - The Personal Health Advisor,Health Care,Medical,Hyderabad,Andhra Pradesh,"Redheal Care is a mobile platform that focuses on scheduled appointments, medication orders, & medical record keeping, among other features.",500072,$1M to $10M,"Jul 9, 2016",www.redheal.com/,1,Bharat Kumar Raju Kalidindi,,Nov-50,1,Seed,"Feb 4, 2017","$ 1,20,000.00",Pre-Seed,"$ 1,20,000.00",—,,,,
Trend Tiger Private Limited,Casual Games,Education,Hyderabad,Andhra Pradesh,Game studio specializes in developing Massively Multiplayer Casual Social Games,500081,$1M to $10M,2016,allin.game,1,Kalyan Chitrapu,,01-Oct,1,Seed,"Aug 24, 2016","$ 5,00,000.00",Seed,"$ 5,00,000.00",—,,,,
Ebutor,E-Commerce,,Hyderabad,Andhra Pradesh,"India's leading FMCG distributor, driven by tech, data science and standard.",500081,—,2016,ebutor.com/,2,Srikanth Pakala,Sudheer Mareddi,501-1000,3,—,"Nov 1, 2019","$ 10,00,000.00",Venture - Series Unknown,"$ 35,00,000.00",1,,,,
Spaciya Advisors,Commercial Real Estate,Consulting,Noida,Uttar Pradesh,Spaciya Advisors is a Commercial leasing consultancy firm.,—,—,2016,www.spaciya.com/,1,Ajit Panda,,Nov-50,1,Seed,"Mar 2, 2020","$ 5,00,000.00",Seed,"$ 5,00,000.00",1,,,,
InCred Capital,Financial Services,,Mumbai,Maharashtra,InCred Capital is an integrated provider of financing solutions and advisory services.,400 051,—,2016,www.incredcapital.com,3,Bhupinder Singh,Divya Singh,51-100,1,Private Equity,"Aug 1, 2018",—,Private Equity,—,1,,,,
Fixpocket,Computer,Digital Marketing,Ahmedabad,Gujarat,Fixpocket is a internet-based startup.,380026,—,2016,www.fixpocket.com/,2,Kaivan Shah,Soham Thacker,Nov-50,1,Seed,"Jul 2, 2018","$ 2,50,000.00",Seed,"$ 2,50,000.00",1,,,,
KheloMore,Sports,,Mumbai,Maharashtra,KheloMore is a digital platform bringing athletes and coaches or academies online for exceptional performance offline.,400099,$1M to $10M,2016,www.khelomore.com,—,,,Nov-50,1,Seed,"Nov 16, 2022",—,Seed,—,1,,,,
Affordable Health Services(Easy Buy Health),Health Care,Health Diagnostics,Mumbai,Maharashtra,Helps customers discover an array of healthcare services providers.,—,—,2016,www.easybuyhealth.com/,1,Gagan Kapur,,01-Oct,1,Seed,"Dec 20, 2017","$ 3,50,000.00",Seed,"$ 3,50,000.00",—,,,,
Infusion Beverages,Consumer Goods,Food and Beverage,New Delhi,Delhi,Infusion Beverages is an India-based food and beverage startup.,—,—,2016,www.infusionbeverages.com,3,Chetanya Golechha,Mragank Gurjar,01-Oct,1,Seed,"Mar 15, 2017","$ 4,53,874.00",Seed,"$ 4,53,874.00",—,,,,
Vanido,Apps,Artificial Intelligence (AI),New Delhi,Delhi,Vanido is your AI singing teacher.,—,Less than $1M,2016,vanido.io,1,Varsha Ashok,,01-Oct,2,Seed,"Aug 21, 2017","$ 1,20,000.00",Pre-Seed,"$ 1,20,000.00",2,Rockstart,,,
b-Easy Solutions India Private Limited,Architecture,Building Material,Bengaluru,Karnataka,A one-stop shop for all construction requirements in India.,560038,Less than $1M,"Apr 1, 2016",www.b-easy.com,4,Akshay Bhuwalka,Hima Motati,Nov-50,1,Seed,"Aug 1, 2016","$ 5,00,000.00",Seed,"$ 5,00,000.00",—,,,,
Woodpie,Big Data,E-Commerce,Bengaluru,Karnataka,"Woodpie is a social commerce platform that puts the right book in the right hand, at the right time.",560103,$1M to $10M,"Jan 14, 2016",www.woodpie.com,1,Anuradha Bajpai,,01-Oct,2,Seed,"Sep 1, 2016","$ 1,50,000.00",Seed,"$ 1,80,000.00",1,,,,
Tiesta,E-Commerce,Fashion,Mumbai,Maharashtra,Custom Made Luxury Footwear,400013,—,"May 4, 2016",www.tiesta.in,—,,,01-Oct,1,Seed,"Dec 6, 2021","$ 2,50,000.00",Seed,"$ 2,50,000.00",1,,,,
TheCollegeFever,Brand Marketing,Event Promotion,Bangalore,Karnataka,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",560095,$1M to $10M,Jan-16,www.thecollegefever.com/,2,Kushal Aralihalli,Subramaniam Srinivasan,01-Oct,2,Early Stage Venture,"Aug 1, 2019",—,Series A,"$ 2,50,000.00",2,11.2 Advisors,,,
Axon Machines,Hardware,Home Appliances,Chennai,Tamil Nadu,Home Appliances is a robotics company making smart home appliances.,600113,—,"Oct 9, 2016",www.axonmachines.com,2,Vamsi Krishna,Vishal Singh,01-Oct,1,Seed,"Apr 4, 2017","$ 50,000.00",Pre-Seed,"$ 50,000.00",—,,,,
Onionfans PTE.LTD,News,Public Relations,Bangalore,Karnataka,A tech media and venture capital management organization connecting China and India,—,—,"Dec 25, 2015",www.onionfans.com,,,,,,,,,,,,,,,
we are also connecting Indian startups to Chinese investors through information sharing and multiple events,,,,,,,,,,,,,,,,,,,,,,,,
we know best how to seal a deal between Indian startups and Chinese capital. Besides Financial Assistance,"and even trips to China to meet the Big Guys!\"",—,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/onionfans-pte-ltd,Hutu Onionfans,,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/venture-capital-b37d,,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/onionfans-pte-ltd,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/onionfans-pte-ltd,—,,,,,,,,,,,,,
Park24x7 Technologies Pvt. Ltd.,Marketplace,Mobile,Kolkata,West Bengal,Park24x7 is digitizing Parking Industry by aggregating organized & unorganized parking sector as a  Marketplace for Parking,700064,—,Jun 10","2016""",www.park24x7.com/,3,Avishek Tarafdar,Milind Shethia,Nov-50,1,Seed,"Jan 1, 2018","$ 1,10,000.00",Pre-Seed,"$ 1,10,000.00",—,,,,,,,,,,
Scientist Technologies,Artificial Intelligence (AI),Machine Learning,Bangalore,Karnataka,"AI solutions company in retail, mobility and cyber security",560025,—,Aug-16,www.scientisttechnologies.com,1,Anurag Priyadarshi,,Nov-50,1,Seed,"Jun 30, 2021","$ 1,00,000.00",Pre-Seed,"$ 1,00,000.00",1,,,,
Insure First,FinTech,Insurance,Kolkata,West Bengal,Insurance,700054,—,"Sep 23, 2016",www.insurefirst.co.in,2,Aparajit Bhattacharya,Krishna Murari Kyal,Nov-50,1,Seed,"Nov 20, 2017","$ 2,30,000.00",Seed,"$ 2,30,000.00",—,,,,
Sniffton Technologies (P) Ltd,Information Technology,IT Infrastructure,New Delhi,Delhi,Sniffton Technologies is a Startup Technology Company. It providing IT and Engineering Services,110066,—,"Feb 1, 2016",www.sniffton.in,2,A. J,San Takur,51-100,1,Seed,"Apr 1, 2016","₹ 1,00,000.00",Seed,"₹ 1,00,000.00",—,,,,
Medipta Solutions Pvt Ltd,Health Care,Medical,Pune,Maharashtra,"Medipta is a medical platform aggregator. Medipta connects Patients, Doctors, Diagnostic labs and Chemists.",411038,—,"Nov 17, 2015",medipta.com,1,Rahul Bojalwar,,Nov-50,2,Seed,"Sep 1, 2016","$ 1,50,000.00",Seed,"$ 2,25,000.00",—,,,,
All Dealzz,Coupons,Mobile Apps,Ahmedabad,Gujarat,All Dealzz is a location based hyperlocal app that connects merchants and nearby customers to exchange services.,—,—,Dec-15,www.alldealzz.com,2,Mayur Bhakar,Parth Amin,Nov-50,2,Seed,"Jun 5, 2016","₹ 28,00,000.00",Seed,"₹ 66,00,000.00",—,,,,
Poshtick,Fitness,Food and Beverage,Noida,Uttar Pradesh,Poshtick is a health and wellness startup,201304,$1M to $10M,2016,poshtick.com/,2,Pranav Malia,Pranav Sharma,01-Oct,1,Seed,"Sep 10, 2016","$ 4,50,000.00",Angel,"$ 4,50,000.00",2,Bhavya Sharma,,,
UnderstandBetter,Artificial Intelligence (AI),Human Resources,Chennai,Tamil Nadu,UnderstandBetter is a personalised employee feedback platform that gives managers insights to take action on,600040,—,2016,understandbetter.co,3,Pankaj Harita,Paul-Bernard Popoun,01-Oct,1,Seed,"Sep 25, 2018","$ 30,000.00",Seed,"$ 30,000.00",1,,,,
Jal Technologies Pvt. Ltd.,CleanTech,Environmental Consulting,Surat,Gujarat,IOT Platform For Connected Enterprise,394101,—,"Oct 5, 2015",www.prkruti.com/,—,—,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/prkruti,,shell india markets pvt ltd,Nov-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/prkruti,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/prkruti,"Jan 2, 2019","$ 2,00,000.00","$ 2,00,000.00",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/prkruti,1,,
SeasonBoy,Delivery Service,Logistics,Hyderabad,Andhra Pradesh,Seasonboy is a Hyderabad based On-Demand logistics startup,500081,—,"Sep 15, 2015",www.seasonboy.com/,5,Mahi Illindra,Pavan Raguru,51-100,1,Seed,"Feb 20, 2016","$ 3,12,000.00",Angel,"$ 3,12,000.00",—,,,,
Fleely,Charging Infrastructure,Electric Vehicle,Jaipur,Rajasthan,Fleely provides EV Charging Stations for Residential as well Commercial EV Charging Stations.,302004,—,"Sep 6, 2015",fleely.com,2,Hemant Kumar,Prakhar Kalani,Nov-50,2,Seed,"Feb 3, 2019","$ 3,000.00",Seed,"$ 5,000.00",—,,,,
Homestudio,Home Decor,Interior Design,Bangalore,Karnataka,"In today's fast paced world, we offer latest furniture solutions to help homeowners set up their homes quickly",560095,$1M to $10M,"Oct 1, 2015",homestudio.com/,1,Alok Duggal,,Nov-50,1,Seed,"Dec 10, 2015","$ 50,00,000.00",Seed,"$ 50,00,000.00",1,,,,
FPL Nokero,Industrial,Lighting,Bengaluru,Karnataka,FPL Nokero is a technology pioneer in LED lighting and integrated Solar lighting technology.,560044,—,"May 10, 2016",www.fplnokero.com,1,Venkateswaran Sekar,,Nov-50,1,Seed,"Feb 2, 2017","$ 2,50,000.00",Seed,"$ 2,50,000.00",1,,,,
YOLOFARMS,Events,Hospitality,Surat,Gujarat,WE PROVIDE FARM-HOUSE FOR ALL KIND OF CELEBRATION,—,—,"Nov 30, 2016",www.yolofarms.in,2,Prithu Agarwal,Rajesh Nanavati,Nov-50,1,Seed,"Mar 31, 2019","$ 42,000.00",Pre-Seed,"$ 42,000.00",—,,,,
Dynasense,Health Care,Health Diagnostics,,,Dynasense Technologies is a medical technology company committed to developing innovative solutions for healthcare professionals.,400086,—,2016,www.dynasense.xyz/,2,India,Asia-Pacific (APAC),Nov-50,1,Seed,"Apr 1, 2016","$ 70,000.00",Pre-Seed,"$ 70,000.00",—,,,,
ARCHEPLAY,Consulting,Information Technology,Bangalore,Karnataka,"SAAS, Cloud Technology, Infrastructure as no Code, Public Cloud Budget Management, MultiCloud MultiAccount and MultiUser Management",560048,—,"Jan 1, 2016",archeplay.com/,1,Mohanraj Shanmugam,,Nov-50,1,Seed,"Jun 1, 2016","$ 3,00,000.00",Pre-Seed,"$ 3,00,000.00",1,,,,
Anaxee Digital Runners Private Limited,App Marketing,Data Collection and Labeling,Indore,Madhya Pradesh,On-demand | Field Verification | Data Collection,452001,—,"Aug 3, 2016",www.anaxee.com,3,Arti Agrawal,Govind Agrawal,Nov-50,1,Seed,"Mar 11, 2020",—,Seed,—,5,Orios Venture Partners,Keiretsu Forum,GAIN,Swan Angel Network
Eqpt.in (Drushya Enterprises Pvt Ltd),Infrastructure,Leasing,Kondapur,Andhra Pradesh,"Eqpt.in is an online platform that creates a fair priced, transparent, and customer equipment ecosystem.",—,$10M to $50M,"Oct 15, 2015",www.eqpt.in,1,Gaurav Kapoor,,101-250,1,Seed,"Nov 10, 2015","$ 1,50,000.00",Seed,"$ 1,50,000.00",1,,,,
Bhajiwala,B2B,E-Commerce,Thane,Maharashtra,Fruits & Vegetables | Retail | E-commerce | B2B,—,—,"Dec 16, 2015",www.bhajiwala.com,1,Ashutosh Jha,,51-100,1,Seed,"Jan 10, 2016","$ 6,00,000.00",Seed,"$ 6,00,000.00",—,,,,
Applop Mobile Solutions Pvt Ltd,Internet,Mobile,Gurgaon,Haryana,"Make mobile app without coding, in 5 minutes",122001,—,"Nov 4, 2015",applop.com,1,Rahul Singhal,,Nov-50,2,Seed,"Jul 19, 2016","$ 2,50,000.00",Pre-Seed,"$ 3,50,000.00",2,Greenhouse Ventures,,,
OfficeKit HR,Software,,Kozhikode,Kerala,Officekit HR is an end-to-end human resource management software with all functionalities of employee management - from hire to retire.,—,—,"Oct 1, 2015",www.officekithr.com,2,Haris PT,Mohammed Lanka,Nov-50,1,Seed,"Oct 1, 2020","$ 50,000.00",Pre-Seed,"$ 50,000.00",1,,,,
AppSyte,Apps,Ediscovery,Nasik,Maharashtra,Your Social App Discovery Platform,—,—,2016,www.appsyte.com,2,Devayani Latey,Soham Garud,01-Oct,1,M&A,"Dec 31, 2016","₹ 1,00,000.00",Seed,"₹ 1,00,000.00",2,SG STUDIO 4 Technologies Pvt. Ltd.,,,
ShakeDeal,B2B,E-Commerce,Bangalore,Karnataka,"ShakeDeal is a B2B marketplace for industrial products, office supplies, and corporate gifting.",560066,—,Jan-16,shakedeal.com/,3,Akash Hegde,Akshay Hegde,101-250,1,M&A,"Mar 20, 2018",—,Series A,—,1,,,,
Millionlights,Education,,Pune,Maharashtra,Millionlights Bringing open education and certification to the under-served markets,—,Less than $1M,"Feb 2, 2016",www.millionlights.org,1,Akshat Shrivastava,,Nov-50,1,Seed,"Dec 1, 2016","$ 4,00,000.00",Seed,"$ 4,00,000.00",1,,,,
Earth Food,E-Commerce,Food and Beverage,Pune,Maharashtra,Earth Food provides an online platform intended to grow residue-free fruits and vegetables and sells them in both online and offline format.,412207,$1M to $10M,2016,www.theearthfood.com,2,Nilesh Palresha,Siddharth Khinvasara,51-100,1,Seed,"May 11, 2018","$ 9,51,381.00",Seed,"$ 9,51,381.00",1,,,,
Broadcast Wearables Pvt Ltd,Artificial Intelligence (AI),Consumer,Hyderabad,Andhra Pradesh,"Worlds 1st Programmable Tshirt, World's 1st Fitness Jersey with Functions of a Fitness Band, World's 1st Cycling Jersey LEDTurn Indicators",500034,Less than $1M,"Feb 22, 2016",www.broadcastwear.com/,2,Ayyappa Nagubandi,SAUMIL SHAH,Nov-50,1,Seed,"Jun 27, 2016","$ 1,20,000.00",Seed,"$ 1,20,000.00",—,,,,
Appok Infolabs,Artificial Intelligence (AI),Information Technology,Bhind,Madhya Pradesh,"Software development, Mobile app, Saas development, website design, With an expanding client base of over 700 satisfied worldwide clients.",477001,—,"Jan 1, 2016",appoks.com,1,Abhinay Singh,,Nov-50,1,Early Stage Venture,"Jan 20, 2022","$ 2,750.00",Series A,"$ 2,750.00",—,,,,
Geekeasier,Android,Blogging Platforms,Bengaluru,Karnataka,"Geekeasier provides technical resources and tips about latest gadgets, software, technology, app, and about digital trend in the web world.",—,Less than $1M,"May 8, 2016",geekeasier.com,1,Parthiban Raja,,Nov-50,1,Early Stage Venture,"Feb 5, 2018","$ 10,00,000.00",Series A,"$ 10,00,000.00",—,,,,
CCU Corporate Holdings,Commercial Real Estate,Property Management,Kolkata,West Bengal,Calcutta based corporate flat rental real estate holding company.,—,—,Jun-16,,—,,,01-Oct,1,Private Equity,"Jun 23, 2017","$ 20,00,000.00",Private Equity,"$ 20,00,000.00",1,,,,
DStreet Games,Apps,Gaming,Bengalooru,Karnataka,"DStreet Games focuses on building enterprise-grade, tailored, and managed tech systems for financial markets.",—,—,2016,dstreet.games,—,,,—,1,Seed,"May 7, 2021","$ 50,000.00",Pre-Seed,"$ 50,000.00",1,,,,
